v29 loop_store 22 fault True CASE budget_loop_store_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=1 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=2 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=3 proto_attempts=1 loop_attempts=1 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=1

v30 proto 38 fault False CASE budget_proto_105_38 instructions=461 bytes=8192 high=105 divide=0 native=1 result=3 prefix=0 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_38 instructions=461 bytes=8192 high=105 divide=0 native=2 result=3 prefix=0 | RETRY call=2 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_38 instructions=461 bytes=8192 high=105 divide=0 native=3 result=3 prefix=0 | RETRY call=3 proto_attempts=1 loop_attempts=0 retryable=0 |  
v30 proto 38 fault True CASE budget_proto_105_38 instructions=461 bytes=0 high=0 divide=0 native=0 result=3 prefix=0 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_38 instructions=461 bytes=0 high=0 divide=0 native=0 result=3 prefix=0 | RETRY call=2 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_38 instructions=461 bytes=0 high=0 divide=0 native=0 result=3 prefix=0 | RETRY call=3 proto_attempts=1 loop_attempts=0 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=1

v30 proto 39 fault False CASE budget_proto_105_39 instructions=462 bytes=5676 high=0 divide=105 native=1 result=3 prefix=0 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_39 instructions=462 bytes=5676 high=0 divide=105 native=2 result=3 prefix=0 | RETRY call=2 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_39 instructions=462 bytes=5676 high=0 divide=105 native=3 result=3 prefix=0 | RETRY call=3 proto_attempts=1 loop_attempts=0 retryable=0 |  
v30 proto 39 fault True CASE budget_proto_105_39 instructions=462 bytes=0 high=0 divide=0 native=0 result=3 prefix=0 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_39 instructions=462 bytes=0 high=0 divide=0 native=0 result=3 prefix=0 | RETRY call=2 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_proto_105_39 instructions=462 bytes=0 high=0 divide=0 native=0 result=3 prefix=0 | RETRY call=3 proto_attempts=1 loop_attempts=0 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=1

v30 precise 71 fault False CASE budget_precise_10_71 instructions=119 bytes=8192 high=10 divide=0 native=1 result=1031 prefix=1 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_precise_10_71 instructions=119 bytes=8192 high=10 divide=0 native=2 result=1031 prefix=1 | RETRY call=2 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_precise_10_71 instructions=119 bytes=8192 high=10 divide=0 native=3 result=1031 prefix=1 | RETRY call=3 proto_attempts=1 loop_attempts=0 retryable=0 |  
v30 precise 71 fault True CASE budget_precise_10_71 instructions=119 bytes=0 high=0 divide=0 native=0 result=1031 prefix=1 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=1 | CASE budget_precise_10_71 instructions=119 bytes=8192 high=10 divide=0 native=1 result=1031 prefix=1 | RETRY call=2 proto_attempts=2 loop_attempts=0 retryable=0 | CASE budget_precise_10_71 instructions=119 bytes=8192 high=10 divide=0 native=2 result=1031 prefix=1 | RETRY call=3 proto_attempts=2 loop_attempts=0 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=2

v30 precise 72 fault False CASE budget_precise_10_72 instructions=120 bytes=8156 high=0 divide=10 native=1 result=1031 prefix=1 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_precise_10_72 instructions=120 bytes=8156 high=0 divide=10 native=2 result=1031 prefix=1 | RETRY call=2 proto_attempts=1 loop_attempts=0 retryable=0 | CASE budget_precise_10_72 instructions=120 bytes=8156 high=0 divide=10 native=3 result=1031 prefix=1 | RETRY call=3 proto_attempts=1 loop_attempts=0 retryable=0 |  
v30 precise 72 fault True CASE budget_precise_10_72 instructions=120 bytes=0 high=0 divide=0 native=0 result=1031 prefix=1 | RETRY call=1 proto_attempts=1 loop_attempts=0 retryable=1 | CASE budget_precise_10_72 instructions=120 bytes=8156 high=0 divide=10 native=1 result=1031 prefix=1 | RETRY call=2 proto_attempts=2 loop_attempts=0 retryable=0 | CASE budget_precise_10_72 instructions=120 bytes=8156 high=0 divide=10 native=2 result=1031 prefix=1 | RETRY call=3 proto_attempts=2 loop_attempts=0 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=2

v30 loop_store_flat 22 fault False CASE budget_loop_store_flat_100_22 instructions=440 bytes=8192 high=100 divide=0 native=1 result=3 prefix=3 | RETRY call=1 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_flat_100_22 instructions=440 bytes=8192 high=100 divide=0 native=2 result=3 prefix=3 | RETRY call=2 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_flat_100_22 instructions=440 bytes=8192 high=100 divide=0 native=3 result=3 prefix=3 | RETRY call=3 proto_attempts=1 loop_attempts=1 retryable=0 |  
v30 loop_store_flat 22 fault True CASE budget_loop_store_flat_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=1 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_flat_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=2 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_flat_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=3 proto_attempts=1 loop_attempts=1 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=1

v30 loop_store 22 fault False CASE budget_loop_store_100_22 instructions=440 bytes=5796 high=0 divide=100 native=1 result=3 prefix=3 | RETRY call=1 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_100_22 instructions=440 bytes=5796 high=0 divide=100 native=2 result=3 prefix=3 | RETRY call=2 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_100_22 instructions=440 bytes=5796 high=0 divide=100 native=3 result=3 prefix=3 | RETRY call=3 proto_attempts=1 loop_attempts=1 retryable=0 |  
v30 loop_store 22 fault True CASE budget_loop_store_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=1 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=2 proto_attempts=1 loop_attempts=1 retryable=0 | CASE budget_loop_store_100_22 instructions=440 bytes=0 high=0 divide=0 native=0 result=3 prefix=3 | RETRY call=3 proto_attempts=1 loop_attempts=1 retryable=0 |  EXEC_FAILURES=1 EXEC_ATTEMPTS=1

24 retry/reference cases passed result and prefix checks
